Date,Open,High,Low,Close,Adj Close,Volume
2010-04-28,22.250000,22.250000,21.700001,22.000000,10.572404,5244400
2010-04-29,22.000000,23.250000,21.900000,23.000000,11.052967,8773600
2010-04-30,22.950001,23.000000,22.250000,22.299999,10.716572,1644400
2010-05-03,22.750000,22.950001,22.650000,22.799999,10.956854,3302700
2010-05-04,22.799999,22.799999,21.500000,21.500000,10.332122,2276500
2010-05-05,22.000000,22.000000,20.000000,20.590000,9.894805,6999200
2010-05-06,20.500000,20.549999,18.450001,19.450001,9.346966,8029400
2010-05-07,19.500000,19.549999,17.900000,18.600000,8.938488,3881500
2010-05-10,19.750000,19.850000,18.700001,19.010000,9.135515,3861100
2010-05-11,18.750000,19.280001,18.750000,18.900000,9.082654,2626900
2010-05-12,19.200001,20.040001,19.200001,19.799999,9.515162,5714300
2010-05-13,19.850000,20.100000,19.600000,19.650000,9.443079,2475900
2010-05-14,19.299999,19.400000,18.750000,18.750000,9.010571,3133400
2010-05-17,19.000000,19.200001,18.700001,18.850000,9.058626,10117000
2010-05-18,19.049999,19.320000,18.250000,18.790001,9.029794,6219800
2010-05-19,18.900000,18.930000,17.549999,17.700001,8.505978,6227700
2010-05-20,17.139999,17.139999,16.200001,16.900000,8.121528,10248400
2010-05-21,16.350000,17.120001,16.250000,16.549999,7.953330,4560800
2010-05-24,16.700001,17.150000,16.680000,16.900000,8.121528,1761300
2010-05-25,16.790001,16.790001,16.200001,16.570000,7.962943,4649600
2010-05-26,16.990000,17.400000,16.799999,17.150000,8.241667,2079300
2010-05-27,17.650000,18.000000,17.650000,17.900000,8.602092,3156100
2010-05-28,17.900000,17.900000,16.250000,17.770000,8.539619,222200
2010-06-01,17.650000,17.799999,17.200001,17.500000,8.409866,900800
2010-06-02,17.610001,17.660000,17.219999,17.330000,8.328170,829900
2010-06-03,17.450001,17.500000,17.150000,17.330000,8.328170,2173600
2010-06-04,17.049999,17.100000,16.750000,17.049999,8.193614,3147200
2010-06-07,17.150000,17.200001,16.740000,16.889999,8.116724,2826800
2010-06-08,17.030001,17.030001,16.500000,16.750000,8.049442,2037700
2010-06-09,16.790001,17.100000,16.700001,16.790001,8.068666,1410200
2010-06-10,16.969999,17.070000,16.850000,16.969999,8.155168,1401000
2010-06-11,16.940001,17.190001,16.940001,17.139999,8.236863,452500
2010-06-14,17.190001,17.580000,17.190001,17.490000,8.405060,1008500
2010-06-15,17.480000,18.000000,17.350000,17.969999,8.635730,1974300
2010-06-16,17.930000,17.969999,17.629999,17.639999,8.477147,1041500
2010-06-17,17.680000,17.750000,17.139999,17.299999,8.313750,1090600
2010-06-18,17.330000,17.350000,17.150000,17.209999,8.270501,1373700
2010-06-21,17.450001,17.530001,17.090000,17.100000,8.217642,514100
2010-06-22,17.090000,17.100000,16.799999,16.840000,8.092694,1502900
